CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
22036516,THEFT FROM AUTO,08/10/2022 12:00:00 AM,6:10:00 AM,LARCENY - FROM VEHICLE,3,10/13/2022 04:42:00 PM,"Berkeley, CA
(37.86988, -122.27054)",,Berkeley,CA
22027674,BURGLARY RESIDENTIAL,06/16/2022 12:00:00 AM,8:25:00 PM,BURGLARY - RESIDENTIAL,4,10/13/2022 04:42:00 PM,"1700 BLOCK OXFORD ST
Berkeley, CA
(37.87674, -122.26665)",1700 BLOCK OXFORD ST,Berkeley,CA
22023993,VANDALISM,05/25/2022 12:00:00 AM,8:00:00 AM,VANDALISM,3,10/13/2022 04:42:00 PM,"2400 BLOCK 8TH ST
Berkeley, CA
(37.86206, -122.29346)",2400 BLOCK 8TH ST,Berkeley,CA
22026547,DISTURBANCE,06/10/2022 12:00:00 AM,9:35:00 PM,DISORDERLY CONDUCT,5,10/13/2022 04:42:00 PM,"1300 BLOCK HEARST AVE
Berkeley, CA
(37.87133, -122.28656)",1300 BLOCK HEARST AVE,Berkeley,CA
22018126,ASSAULT/BATTERY FEL.,04/20/2022 12:00:00 AM,3:31:00 PM,ASSAULT,3,10/13/2022 04:42:00 PM,"3000 BLOCK SHATTUCK AVE
Berkeley, CA
(37.85507, -122.26677)",3000 BLOCK SHATTUCK AVE,Berkeley,CA
22027984,DISTURBANCE,06/18/2022 12:00:00 AM,8:00:00 PM,DISORDERLY CONDUCT,6,10/13/2022 04:42:00 PM,"2400 BLOCK BLAKE ST
Berkeley, CA
(37.86397, -122.26036)",2400 BLOCK BLAKE ST,Berkeley,CA
22037721,VANDALISM,08/16/2022 12:00:00 AM,5:00:00 PM,VANDALISM,2,10/13/2022 04:42:00 PM,"1800 BLOCK 6TH ST
Berkeley, CA
(37.87025, -122.29843)",1800 BLOCK 6TH ST,Berkeley,CA
22032763,BURGLARY RESIDENTIAL,07/18/2022 12:00:00 AM,10:00:00 AM,BURGLARY - RESIDENTIAL,1,10/13/2022 04:42:00 PM,"2400 BLOCK LE CONTE AVE
Berkeley, CA
(37.87637, -122.26229)",2400 BLOCK LE CONTE AVE,Berkeley,CA
22040132,DISTURBANCE,08/29/2022 12:00:00 AM,11:30:00 PM,DISORDERLY CONDUCT,1,10/13/2022 04:42:00 PM,"2300 BLOCK DURANT AVE
Berkeley, CA
(37.86725, -122.26326)",2300 BLOCK DURANT AVE,Berkeley,CA
22029491,VEHICLE STOLEN,06/28/2022 12:00:00 AM,2:45:00 AM,MOTOR VEHICLE THEFT,2,10/13/2022 04:42:00 PM,"2100 BLOCK 10TH ST
Berkeley, CA
(37.86746, -122.29285)",2100 BLOCK 10TH ST,Berkeley,CA
