Player,Position,Team,Salary
John Collins,PF,Atlanta Hawks,23000000
Danilo Gallinari,PF,Atlanta Hawks,20475000
Bogdan Bogdanović,SG,Atlanta Hawks,18000000
Clint Capela,C,Atlanta Hawks,17103448
Delon Wright,SG,Atlanta Hawks,8526316
Trae Young,PG,Atlanta Hawks,8326471
Lou Williams,PG,Atlanta Hawks,5000000
Cam Reddish,SF,Atlanta Hawks,4670160
Kevin Huerter,SG,Atlanta Hawks,4253357
Gorgui Dieng,C,Atlanta Hawks,4000000
Timothé Luwawu-Cabarrot,SF,Atlanta Hawks,1939350
Jayson Tatum,SF,Boston Celtics,28103550
Al Horford,C,Boston Celtics,27000000
Jaylen Brown,SF,Boston Celtics,24830357
Marcus Smart,PG,Boston Celtics,14339285
Josh Richardson,SG,Boston Celtics,11600000
Juancho Hernangómez,PF,Boston Celtics,7012440
Dennis Schröder,SG,Boston Celtics,5890000
Romeo Langford,SG,Boston Celtics,3804360
Robert Williams,C,Boston Celtics,3661976
Aaron Nesmith,SF,Boston Celtics,3631200
Enes Freedom,C,Boston Celtics,2641691
Grant Williams,PF,Boston Celtics,2617800
Payton Pritchard,SG,Boston Celtics,2137440
James Harden,PG,Brooklyn Nets,43848000
Kevin Durant,PF,Brooklyn Nets,40918900
Patty Mills,PG,Brooklyn Nets,5890000
Bruce Brown,SF,Brooklyn Nets,4736102
Jevon Carter,PG,Brooklyn Nets,3833333
James Johnson,PF,Brooklyn Nets,2641691
LaMarcus Aldridge,C,Brooklyn Nets,2641691
Paul Millsap,PF,Brooklyn Nets,2641691
Cam Thomas,SG,Brooklyn Nets,2036280
DeAndre' Bembry,SF,Brooklyn Nets,1939350
Nic Claxton,C,Brooklyn Nets,1782621
Gordon Hayward,SF,Charlotte Hornets,29900000
Terry Rozier,SG,Charlotte Hornets,17905263
Nicolas Batum,PF,Charlotte Hornets,12213507
Kelly Oubre Jr.,SF,Charlotte Hornets,12000000
LaMelo Ball,PG,Charlotte Hornets,8231760
Mason Plumlee,C,Charlotte Hornets,8137500
Miles Bridges,PF,Charlotte Hornets,5421493
Ish Smith,PG,Charlotte Hornets,4500000
P.J. Washington,PF,Charlotte Hornets,4215120
James Bouknight,SG,Charlotte Hornets,4154400
Cody Martin,SF,Charlotte Hornets,1782621
Jalen McDaniels,SF,Charlotte Hornets,1782621
Nick Richards,C,Charlotte Hornets,1517981
DeMar DeRozan,PF,Chicago Bulls,26000000
Nikola Vučević,C,Chicago Bulls,24000000
Zach LaVine,SF,Chicago Bulls,19500000
Lonzo Ball,PG,Chicago Bulls,18604651
Derrick Jones Jr.,PF,Chicago Bulls,9720900
Alex Caruso,SG,Chicago Bulls,8604651
Coby White,PG,Chicago Bulls,5837760
Troy Brown Jr.,SF,Chicago Bulls,5170564
Tony Bradley,C,Chicago Bulls,1789256
Javonte Green,SF,Chicago Bulls,1669178
Ayo Dosunmu,SG,Chicago Bulls,925258
Alize Johnson,PF,Chicago Bulls,705598
Kevin Love,PF,Cleveland Cavaliers,31300000
Jarrett Allen,C,Cleveland Cavaliers,20000000
Ricky Rubio,PG,Cleveland Cavaliers,17809524
Lauri Markkanen,PF,Cleveland Cavaliers,15690909
Evan Mobley,PF,Cleveland Cavaliers,8075160
Cedi Osman,SF,Cleveland Cavaliers,8050000
Darius Garland,PG,Cleveland Cavaliers,7040880
Isaac Okoro,SF,Cleveland Cavaliers,6720720
Dylan Windler,SF,Cleveland Cavaliers,2239200
Dean Wade,PF,Cleveland Cavaliers,1782621
Kevin Pangos,PG,Cleveland Cavaliers,1669178
Lamar Stevens,PF,Cleveland Cavaliers,1517981
Kristaps Porziņģis,PF,Dallas Mavericks,31650600
Tim Hardaway Jr.,SG,Dallas Mavericks,21306816
Dwight Powell,C,Dallas Mavericks,11000000
Luka Dončić,PG,Dallas Mavericks,10174391
Reggie Bullock,SF,Dallas Mavericks,9536000
Maxi Kleber,PF,Dallas Mavericks,8750000
Willie Cauley-Stein,C,Dallas Mavericks,4200000
Dorian Finney-Smith,PF,Dallas Mavericks,4000000
Boban Marjanović,C,Dallas Mavericks,3500000
Trey Burke,PG,Dallas Mavericks,3333333
Sterling Brown,SG,Dallas Mavericks,3000000
Josh Green,SG,Dallas Mavericks,2957520
Jalen Brunson,PG,Dallas Mavericks,1802057
Frank Ntilikina,PG,Dallas Mavericks,1789256
Moses Brown,C,Dallas Mavericks,1701593
Nikola Jokić,C,Denver Nuggets,30510423
Aaron Gordon,PF,Denver Nuggets,16409091
Will Barton,SG,Denver Nuggets,15384615
Monte Morris,PG,Denver Nuggets,8333333
JaMychal Green,PF,Denver Nuggets,8292683
Jeff Green,C,Denver Nuggets,4500000
Facundo Campazzo,PG,Denver Nuggets,3804150
Zeke Nnaji,PF,Denver Nuggets,2498760
Austin Rivers,SG,Denver Nuggets,2401537
Bones Hyland,PG,Denver Nuggets,2096880
Rodney McGruder,SG,Denver Nuggets,1939350
Blake Griffin,PF,Detroit Pistons,32405817
Jerami Grant,PF,Detroit Pistons,20000000
DeAndre Jordan,C,Detroit Pistons,10517224
Cade Cunningham,PG,Detroit Pistons,10050120
Cory Joseph,PG,Detroit Pistons,7310000
Killian Hayes,PG,Detroit Pistons,5572680
Dewayne Dedmon,C,Detroit Pistons,5256308
Hamidou Diallo,SG,Detroit Pistons,5200000
Josh Jackson,SF,Detroit Pistons,5005350
Isaiah Stewart,C,Detroit Pistons,3277080
Frank Jackson,PG,Detroit Pistons,3000000
Saddiq Bey,SF,Detroit Pistons,2824320
Trey Lyles,PF,Detroit Pistons,2500000
Saben Lee,PG,Detroit Pistons,1489065
Luka Garza,C,Detroit Pistons,925258
Stephen Curry,PG,Golden State Warriors,45780966
Andrew Wiggins,SF,Golden State Warriors,31579390
Draymond Green,PF,Golden State Warriors,24026712
Jonathan Kuminga,SF,Golden State Warriors,5466360
Kevon Looney,C,Golden State Warriors,5178572
Moses Moody,SG,Golden State Warriors,3562080
Andre Iguodala,SF,Golden State Warriors,2641691
Otto Porter Jr.,PF,Golden State Warriors,2389641
Jordan Poole,SG,Golden State Warriors,2161440
Nemanja Bjelica,C,Golden State Warriors,2089448
